Week,Year,Number of deaths,Number of deaths - Annotations,Age-standardized death rate in parts per thousand
1,2015,1704,,0.206
2,2015,1768,,0.214
3,2015,1837,,0.223
4,2015,1792,,0.217
5,2015,1837,,0.222
6,2015,1926,,0.233
7,2015,1992,,0.241
8,2015,2020,,0.244
9,2015,1883,,0.228
10,2015,1846,,0.223
11,2015,1763,,0.213
12,2015,1696,,0.205
13,2015,1725,,0.207
14,2015,1604,,0.192
15,2015,1563,,0.189
16,2015,1614,,0.195
17,2015,1547,,0.187
18,2015,1453,,0.176
19,2015,1452,,0.174
20,2015,1461,,0.176
21,2015,1396,,0.169
22,2015,1304,,0.156
23,2015,1437,,0.173
24,2015,1502,,0.182
25,2015,1285,,0.156
26,2015,1374,,0.166
27,2015,1487,,0.18
28,2015,1476,,0.178
29,2015,1475,,0.177
30,2015,1633,,0.197
31,2015,1446,,0.174
32,2015,1500,,0.18
33,2015,1692,,0.204
34,2015,1376,,0.166
35,2015,1476,,0.178
36,2015,1389,,0.168
37,2015,1447,,0.174
38,2015,1459,,0.176
39,2015,1410,,0.171
40,2015,1494,,0.181
41,2015,1409,,0.17
42,2015,1481,,0.18
43,2015,1498,,0.182
44,2015,1433,,0.172
45,2015,1460,,0.176
46,2015,1527,,0.185
47,2015,1486,,0.18
48,2015,1488,,0.18
49,2015,1509,,0.184
50,2015,1517,,0.184
51,2015,1538,,0.187
52,2015,1545,,0.188
53,2015,1537,,0.186
1,2016,1634,,0.193
2,2016,1626,,0.192
3,2016,1608,,0.19
4,2016,1578,,0.187
5,2016,1609,,0.191
6,2016,1650,,0.195
7,2016,1621,,0.192
8,2016,1581,,0.187
9,2016,1714,,0.203
10,2016,1532,,0.181
11,2016,1516,,0.179
12,2016,1499,,0.177
13,2016,1598,,0.189
14,2016,1562,,0.184
15,2016,1520,,0.179
16,2016,1413,,0.166
17,2016,1460,,0.172
18,2016,1447,,0.171
19,2016,1486,,0.176
20,2016,1453,,0.171
21,2016,1505,,0.178
22,2016,1402,,0.165
23,2016,1360,,0.16
24,2016,1348,,0.16
25,2016,1452,,0.171
26,2016,1338,,0.158
27,2016,1328,,0.156
28,2016,1323,,0.157
29,2016,1458,,0.172
30,2016,1424,,0.168
31,2016,1390,,0.165
32,2016,1359,,0.161
33,2016,1394,,0.164
34,2016,1408,,0.166
35,2016,1414,,0.167
36,2016,1380,,0.162
37,2016,1392,,0.164
38,2016,1376,,0.162
39,2016,1442,,0.17
40,2016,1469,,0.174
41,2016,1556,,0.184
42,2016,1607,,0.19
43,2016,1522,,0.179
44,2016,1484,,0.175
45,2016,1541,,0.182
46,2016,1616,,0.192
47,2016,1550,,0.183
48,2016,1601,,0.189
49,2016,1619,,0.191
50,2016,1670,,0.197
51,2016,1847,,0.218
52,2016,2160,,0.256
1,2017,2293,,0.267
2,2017,2340,,0.273
3,2017,2060,,0.24
4,2017,1938,,0.226
5,2017,2045,,0.238
6,2017,1874,,0.218
7,2017,1750,,0.203
8,2017,1807,,0.21
9,2017,1696,,0.198
10,2017,1614,,0.187
11,2017,1542,,0.179
12,2017,1535,,0.178
13,2017,1489,,0.173
14,2017,1537,,0.178
15,2017,1532,,0.177
16,2017,1475,,0.171
17,2017,1440,,0.168
18,2017,1527,,0.177
19,2017,1434,,0.167
20,2017,1501,,0.174
21,2017,1327,,0.154
22,2017,1456,,0.168
23,2017,1312,,0.152
24,2017,1421,,0.166
25,2017,1476,,0.172
26,2017,1419,,0.164
27,2017,1413,,0.163
28,2017,1346,,0.157
29,2017,1475,,0.171
30,2017,1375,,0.16
31,2017,1616,,0.188
32,2017,1334,,0.154
33,2017,1380,,0.16
34,2017,1472,,0.171
35,2017,1329,,0.153
36,2017,1318,,0.153
37,2017,1426,,0.166
38,2017,1407,,0.163
39,2017,1496,,0.173
40,2017,1481,,0.172
41,2017,1529,,0.178
42,2017,1453,,0.169
43,2017,1489,,0.172
44,2017,1551,,0.18
45,2017,1490,,0.173
46,2017,1505,,0.175
47,2017,1570,,0.181
48,2017,1531,,0.178
49,2017,1632,,0.189
50,2017,1554,,0.18
51,2017,1653,,0.192
52,2017,1646,,0.191
1,2018,1767,,0.203
2,2018,1842,,0.211
3,2018,1786,,0.203
4,2018,1714,,0.195
5,2018,1870,,0.214
6,2018,1938,,0.222
7,2018,1881,,0.215
8,2018,1951,,0.223
9,2018,2021,,0.231
10,2018,1965,,0.225
11,2018,1946,,0.223
12,2018,1641,,0.188
13,2018,1766,,0.202
14,2018,1617,,0.184
15,2018,1560,,0.179
16,2018,1557,,0.177
17,2018,1383,,0.158
18,2018,1434,,0.163
19,2018,1372,,0.157
20,2018,1342,,0.153
21,2018,1383,,0.158
22,2018,1415,,0.161
23,2018,1433,,0.164
24,2018,1392,,0.159
25,2018,1401,,0.16
26,2018,1414,,0.161
27,2018,1441,,0.165
28,2018,1404,,0.16
29,2018,1511,,0.173
30,2018,1455,,0.166
31,2018,1615,,0.184
32,2018,1532,,0.175
33,2018,1430,,0.163
34,2018,1460,,0.167
35,2018,1414,,0.161
36,2018,1376,,0.157
37,2018,1452,,0.166
38,2018,1421,,0.163
39,2018,1436,,0.164
40,2018,1553,,0.178
41,2018,1509,,0.173
42,2018,1488,,0.17
43,2018,1491,,0.17
44,2018,1561,,0.178
45,2018,1501,,0.171
46,2018,1556,,0.177
47,2018,1531,,0.175
48,2018,1525,,0.174
49,2018,1656,,0.189
50,2018,1626,,0.186
51,2018,1639,,0.187
52,2018,1689,,0.194
1,2019,1648,,0.184
2,2019,1710,,0.191
3,2019,1642,,0.184
4,2019,1714,,0.192
5,2019,1733,,0.195
6,2019,1797,,0.2
7,2019,1820,,0.204
8,2019,1752,,0.197
9,2019,1767,,0.198
10,2019,1812,,0.203
11,2019,1792,,0.201
12,2019,1621,,0.182
13,2019,1653,,0.186
14,2019,1607,,0.18
15,2019,1557,,0.175
16,2019,1559,,0.175
17,2019,1521,,0.17
18,2019,1464,,0.164
19,2019,1456,,0.163
20,2019,1558,,0.175
21,2019,1499,,0.168
22,2019,1496,,0.168
23,2019,1525,,0.171
24,2019,1558,,0.175
25,2019,1427,,0.16
26,2019,1459,,0.163
27,2019,1508,,0.169
28,2019,1338,,0.15
29,2019,1430,,0.16
30,2019,1558,,0.174
31,2019,1459,,0.164
32,2019,1406,,0.158
33,2019,1408,,0.158
34,2019,1454,,0.163
35,2019,1501,,0.169
36,2019,1426,,0.16
37,2019,1410,,0.158
38,2019,1454,,0.163
39,2019,1577,,0.176
40,2019,1557,,0.174
41,2019,1592,,0.178
42,2019,1497,,0.168
43,2019,1545,,0.173
44,2019,1536,,0.172
45,2019,1556,,0.174
46,2019,1559,,0.174
47,2019,1556,,0.175
48,2019,1587,,0.178
49,2019,1599,,0.179
50,2019,1668,,0.187
51,2019,1592,,0.178
52,2019,1637,,0.184
1,2020,1610,,0.178
2,2020,1702,,0.189
3,2020,1797,,0.2
4,2020,1779,,0.197
5,2020,1947,,0.216
6,2020,1680,,0.186
7,2020,1721,,0.191
8,2020,1719,,0.19
9,2020,1768,,0.196
10,2020,1744,,0.193
11,2020,1718,,0.191
12,2020,1836,,0.203
13,2020,1764,,0.195
14,2020,1828,,0.202
15,2020,1793,,0.199
16,2020,1704,,0.189
17,2020,1588,,0.176
18,2020,1480,,0.164
19,2020,1520,,0.168
20,2020,1489,,0.165
21,2020,1481,,0.164
22,2020,1414,,0.156
23,2020,1490,,0.165
24,2020,1461,,0.162
25,2020,1413,,0.156
26,2020,1437,,0.159
27,2020,1559,,0.173
28,2020,1383,,0.153
29,2020,1443,,0.16
30,2020,1452,,0.16
31,2020,1525,,0.169
32,2020,1431,,0.158
33,2020,1604,,0.178
34,2020,1472,,0.163
35,2020,1493,,0.165
36,2020,1512,,0.167