Sex,Total male and female,Total male and female,Total male and female,Total male and female
Periods,aantal,aantal,aantal,aantal
2017,150214,21694,44425,84095
2018,153363,21568,45975,85820
2019,151885,20935,45940,85010
2020 week 1 (5 days)*,2245,272,632,1341
2020 week 2*,3364,432,967,1965
2020 week 3*,3155,416,913,1826
2020 week 4*,3045,352,936,1757
2020 week 5*,3162,449,924,1789
2020 week 6*,3193,400,981,1812
2020 week 7*,3198,409,937,1852
2020 week 8*,2958,340,869,1749
2020 week 9*,3096,403,911,1782
2020 week 10*,3104,392,889,1823
2020 week 11*,3217,408,949,1860
2020 week 12*,3615,450,1079,2086
2020 week 13*,4459,502,1402,2555
2020 week 14*,5084,498,1503,3083
2020 week 15*,4979,483,1435,3061
2020 week 16*,4300,426,1228,2646
2020 week 17*,3907,454,1154,2299
2020 week 18*,3378,443,999,1936
2020 week 19*,2984,388,914,1682
2020 week 20*,2773,373,832,1568
2020 week 21*,2770,368,805,1597
2020 week 22*,2725,366,857,1502
2020 week 23*,2682,385,836,1461
2020 week 24*,2691,407,835,1449
2020 week 25*,2692,375,855,1462
2020 week 26*,2659,381,828,1450
2020 week 27*,2636,402,807,1427
2020 week 28*,2616,388,812,1416
2020 week 29*,2526,370,775,1381
2020 week 30*,2670,408,821,1441
2020 week 31*,2658,372,841,1445
2020 week 32*,2634,417,819,1398
2020 week 33*,3203,463,927,1813
2020 week 34*,2836,411,856,1569
2020 week 35*,2720,349,858,1513
2020 week 36*,2668,408,821,1439
2020 week 37*,2718,386,887,1445
2020 week 38*,2683,387,830,1466
2020 week 39*,2813,364,844,1605
Source: CBS,,,,