Week,Week.start,Week.End,deaths
1,,1/10/20,395
2,,1/17/20,411
3,,1/24/20,347
4,,1/31/20,323
5,,2/7/20,332
6,,2/14/20,306
7,,2/21/20,297
8,,2/28/20,347
9,,3/6/20,312
10,,3/13/20,324
11,,3/20/20,271
12,,3/27/20,287
13,,4/3/20,434
14,,4/10/20,435
15,,4/17/20,424
16,,4/24/20,470
17,,5/1/20,427
18,,5/8/20,336
19,,5/15/20,396
20,,5/22/20,325
21,,5/29/20,316
22,,6/5/20,304
23,,6/12/20,292
24,,6/19/20,290
25,,6/26/20,295
26,,7/3/20,289
27,,7/10/20,275
28,,7/17/20,240
29,,7/24/20,307
30,,7/31/20,273
31,,8/7/20,280
32,,8/14/20,278
33,,8/21/20,313
34,,8/28/20,303
35,,9/4/20,234
36,,9/11/20,296
37,,9/18/20,322
38,,9/25/20,323
1,12/29/14,1/2/15,319
2,1/3/15,1/9/15,373
3,1/10/15,1/16/15,383
4,1/17/15,1/23/15,397
5,1/24/15,1/30/15,374
6,1/31/15,2/6/15,347
7,2/7/15,2/13/15,328
8,2/14/15,2/20/15,317
9,2/21/15,2/27/15,401
10,2/28/15,3/6/15,346
11,3/7/15,3/13/15,323
12,3/14/15,3/20/15,310
13,3/21/15,3/27/15,323
14,3/28/15,4/3/15,221
15,4/4/15,4/10/15,294
16,4/11/15,4/17/15,327
17,4/18/15,4/24/15,316
18,4/25/15,5/1/15,335
19,5/1/15,5/7/15,256
20,5/8/15,5/15/15,299
21,5/16/15,5/22/15,290
22,5/23/15,5/29/15,258
23,5/30/15,6/5/15,340
24,6/6/15,6/12/15,272
25,6/13/15,6/19/15,292
26,6/20/15,6/26/15,303
27,6/27/15,7/3/15,300
28,7/4/15,7/10/15,252
29,7/11/15,7/17/15,203
30,7/18/15,7/24/15,274
31,7/25/15,7/31/15,291
32,8/1/15,8/7/15,248
33,8/8/15,8/14/15,235
34,8/15/15,8/21/15,251
35,8/22/15,8/28/15,259
36,8/29/15,9/4/15,237
37,9/5/15,9/11/15,324
38,9/12/15,9/18/15,283
39,9/19/15,9/25/15,287
40,9/26/15,10/2/15,282
41,10/3/15,10/9/15,304
42,10/10/15,10/16/15,299
43,10/17/15,10/23/15,274
44,10/24/15,10/30/15,292
45,10/31/15,11/6/15,290
46,11/7/15,11/13/15,297
47,11/14/15,11/20/15,294
48,11/21/15,11/27/15,279
49,11/28/15,12/4/15,294
50,12/5/15,12/11/15,343
51,12/12/15,12/18/15,301
52,12/19/15,12/25/15,232
53,12/26/15,1/1/16,232
1,1/2/16,1/8/16,424
2,1/9/16,1/15/16,348
3,1/16/16,1/22/16,372
4,1/23/16,1/29/16,355
5,1/30/16,2/5/16,314
6,2/6/16,2/12/16,310
7,2/13/16,2/19/16,217
8,2/20/16,2/26/16,423
9,2/27/16,3/4/16,298
10,3/5/16,3/11/16,309
11,3/12/16,3/18/16,292
12,3/19/16,3/25/16,306
13,3/26/16,4/1/16,280
14,4/2/16,4/8/16,295
15,4/9/16,4/15/16,292
16,4/16/16,4/22/16,293
17,4/23/16,4/29/16,306
18,4/30/16,5/6/16,258
19,5/7/16,5/13/16,318
20,5/14/16,5/20/16,259
21,5/21/16,5/27/16,280
22,5/28/16,6/3/16,284
23,6/4/16,6/10/16,275
24,6/11/16,6/17/16,299
25,6/18/16,6/24/16,252
26,6/25/16,7/1/16,291
27,7/2/16,7/8/16,286
28,7/9/16,7/15/16,237
29,7/16/16,7/22/16,281
30,7/23/16,7/29/16,298
31,7/30/16,8/5/16,264
32,8/6/16,8/12/16,270
33,8/13/16,8/19/16,260
34,8/20/16,8/26/16,301
35,8/27/16,9/2/16,264
36,9/3/16,9/9/16,275
37,9/10/16,9/16/16,294
38,9/17/16,9/23/16,272
39,9/24/16,9/30/16,275
40,10/1/16,10/7/16,308
41,10/8/16,10/14/16,288
42,10/15/16,10/21/16,296
43,10/22/16,10/28/16,272
44,10/29/16,11/4/16,279
45,11/5/16,11/11/16,290
46,11/12/16,11/18/16,341
47,11/19/16,11/25/16,329
48,11/26/16,12/2/16,303
49,12/3/16,12/9/16,322
50,12/10/16,12/16/16,324
51,12/17/16,12/23/16,360
52,12/24/16,12/30/16,199
1,12/31/16,1/6/17,416
2,1/7/17,1/13/17,434
3,1/14/17,1/20/17,397
4,1/21/17,1/27/17,387
5,1/28/17,2/3/17,371
6,2/4/17,2/10/17,336
7,2/11/17,2/17/17,337
8,2/18/17,2/24/17,351
9,2/25/17,3/3/17,352
10,3/4/17,3/10/17,357
11,3/11/17,3/17/17,251
12,3/18/17,3/24/17,356
13,3/25/17,3/31/17,314
14,4/1/17,4/7/17,306
15,4/8/17,4/14/17,270
16,4/15/17,4/21/17,245
17,4/22/17,4/28/17,327
18,4/29/17,5/5/17,258
19,5/6/17,5/12/17,302
20,5/13/17,5/19/17,315
21,5/20/17,5/26/17,328
22,5/27/17,6/2/17,256
23,6/3/17,6/9/17,292
24,6/10/17,6/16/17,300
25,6/17/17,6/23/17,271
26,6/24/17,6/30/17,296
27,7/1/17,7/7/17,262
28,7/8/17,7/14/17,253
29,7/15/17,7/21/17,288
30,7/22/17,7/28/17,287
31,7/29/17,8/4/17,287
32,8/5/17,8/11/17,238
33,8/12/17,8/18/17,266
34,8/19/17,8/25/17,271
35,8/26/17,9/1/17,243
36,9/2/17,9/8/17,278
37,9/9/17,9/15/17,266
38,9/16/17,9/22/17,292
39,9/23/17,9/29/17,282
40,9/30/17,10/6/17,307
41,10/7/17,10/13/17,284
42,10/14/17,10/20/17,291
43,10/21/17,10/27/17,318
44,10/28/17,11/3/17,320
45,11/4/17,11/10/17,295
46,11/11/17,11/17/17,323
47,11/18/17,11/24/17,303
48,11/25/17,12/1/17,355
49,12/2/17,12/8/17,324
50,12/9/17,12/15/17,372
51,12/16/17,12/22/17,354
52,12/23/17,12/29/17,249
53,12/30/17,1/5/18,447
1,1/6/18,1/12/18,481
2,1/13/18,1/19/18,470
3,1/20/18,1/26/18,426
4,1/27/18,2/2/18,433
5,2/3/18,2/9/18,351
6,2/10/18,2/16/18,364
7,2/17/18,2/23/18,366
8,2/24/18,3/2/18,314
9,3/3/18,3/9/18,387
10,3/10/18,3/16/18,359
11,3/17/18,3/23/18,326
12,3/24/18,3/30/18,319
13,3/31/18,4/6/18,286
14,4/7/18,4/13/18,350
15,4/14/18,4/20/18,280
16,4/21/18,4/27/18,282
17,4/28/18,5/4/18,292
18,5/5/18,5/11/18,230
19,5/12/18,5/18/18,268
20,5/19/18,5/25/18,268
21,5/26/18,6/1/18,252
22,6/2/18,6/8/18,276
23,6/9/18,6/15/18,277
24,6/16/18,6/22/18,265
25,6/23/18,6/29/18,271
26,6/30/18,7/6/18,266
27,7/7/18,7/13/18,172
28,7/14/18,7/20/18,298
29,7/21/18,7/27/18,282
30,7/28/18,8/3/18,278
31,8/4/18,8/10/18,270
32,8/11/18,8/17/18,283
33,8/18/18,8/24/18,280
34,8/25/18,8/31/18,251
35,9/1/18,9/7/18,265
36,9/8/18,9/14/18,285
37,9/15/18,9/21/18,247
38,9/22/18,9/28/18,298
39,9/29/18,10/5/18,324
40,10/6/18,10/12/18,318
41,10/13/18,10/19/18,282
42,10/20/18,10/26/18,263
43,10/27/18,11/2/18,252
44,11/3/18,11/9/18,293
45,11/10/18,11/16/18,275
46,11/17/18,11/23/18,274
47,11/24/18,11/30/18,297
48,12/1/18,12/7/18,324
49,12/8/18,12/14/18,316
50,12/15/18,12/21/18,317
51,12/22/18,12/28/18,195
52,12/29/18,1/4/19,365
1,1/5/19,1/11/19,371
2,1/12/19,1/18/19,332
3,1/19/19,1/25/19,335
4,1/26/19,2/1/19,296
5,2/2/19,2/8/19,319
6,2/9/19,2/15/19,342
7,2/16/19,2/22/19,337
8,2/23/19,3/1/19,310
9,3/2/19,3/8/19,342
10,3/9/19,3/15/19,343
11,3/16/19,3/22/19,294
12,3/23/19,3/29/19,307
13,3/30/19,4/5/19,287
14,4/6/19,4/12/19,301
15,4/13/19,4/19/19,316
16,4/20/19,4/26/19,272
17,4/27/19,5/3/19,357
18,5/4/19,5/10/19,288
19,5/11/19,5/17/19,330
20,5/18/19,5/24/19,308
21,5/25/19,5/31/19,245
22,6/1/19,6/7/19,279
23,6/8/19,6/14/19,281
24,6/15/19,6/21/19,296
25,6/22/19,6/28/19,262
26,6/29/19,7/5/19,285
27,7/6/19,7/12/19,256
28,7/13/19,7/19/19,280
29,7/20/19,7/26/19,269
30,7/27/19,8/2/19,273
31,8/3/19,8/9/19,266
32,8/10/19,8/16/19,284
33,8/17/19,8/23/19,274
34,8/24/19,8/30/19,223
35,8/31/19,9/6/19,243
36,9/7/19,9/13/19,305
37,9/14/19,9/20/19,281
38,9/21/19,9/27/19,295
39,9/28/19,10/4/19,263
40,10/5/19,10/11/19,287
41,10/12/19,10/18/19,316
42,10/19/19,10/25/19,279
43,10/26/19,11/1/19,302
44,11/2/19,11/8/19,296
45,11/9/19,11/15/19,336
46,11/16/19,11/22/19,361
47,11/23/19,11/29/19,334
48,11/30/19,12/6/19,351
49,12/7/19,12/13/19,353
50,12/14/19,12/20/19,363
51,12/21/19,12/27/19,194
52,12/28/19,1/3/20,353